c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	8.76598207995	[]	[]	[]
0	1	[]	[]	[]	6.69964510005	[]	[]	[]
0	2	[]	[]	[]	0.518498827148	[]	[]	[]
0	3	[]	[]	[]	-0.838506002389	[]	[]	[]
1	0	[]	[]	11.8620739872	5.46446799821	7.72568432311	[]	[]
1	1	[]	[]	9.28726180115	2.72955262567	3.172140394	[]	[]
1	2	[]	[]	0.346564936334	-0.0543495916786	-0.41598981981	[]	[]
1	3	[]	[]	0.0591080991427	-0.297894010027	-0.491081916598	[]	[]
2	0	[]	-0.204241001637	1.53937913098	1.53271147152	-0.664423198979	0.639021300155	[]
2	1	[]	7.50224198707	3.0663625771	1.93452393152	1.0139991038	0.695485857953	[]
2	2	[]	0.120102975789	-1.7531770168	-1.02096361928	-0.550379823687	-0.31648299477	[]
2	3	[]	-1.79863664522	-0.544593930131	-0.652867506738	-0.460650024725	-0.65890575433	[]
3	0	9.7647174126	12.1063888026	6.97496257999	0.0	-0.505847635547	-0.165569514626	-0.874348045736
3	1	2.06641234085	1.40651892286	-1.02061191455	-0.903938075794	-0.966480112064	-0.729785475133	0.465000026884
3	2	0.135426716196	-1.02829626062	-0.820631343838	-0.768657335628	-0.447756684385	-0.869728408026	-0.794932107731
3	3	-0.885626006934	-1.68872742069	-0.932788239251	-1.74600094153	-3.86877953048	-4.57831745069	-0.78852282769
4	0	[]	2.90533796667	1.17871795718	-0.148235970146	-0.84925350573	-0.733211896753	[]
4	1	[]	0.857557745563	-1.41318429879	-1.74700725225	-0.760420132526	-1.10223043117	[]
4	2	[]	-0.860380525805	-0.791385577969	-0.67591016019	-0.158536193123	0.132388090522	[]
4	3	[]	-0.255751871461	-0.207838902382	0.477514322607	0.958905764431	0.601864537605	[]
5	0	[]	[]	0.493302986985	0.822125629292	1.562196796	[]	[]
5	1	[]	[]	0.656040970882	-0.579608850752	-1.10083298532	[]	[]
5	2	[]	[]	-1.04137056823	-0.455349933037	0.0670322565831	[]	[]
5	3	[]	[]	0.617443739984	0.604777044563	0.511085111118	[]	[]
6	0	[]	[]	[]	0.665785122852	[]	[]	[]
6	1	[]	[]	[]	2.11735881101	[]	[]	[]
6	2	[]	[]	[]	-0.0253118594833	[]	[]	[]
6	3	[]	[]	[]	0.555803048991	[]	[]	[]
