a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.864638753184	[]	[]	[]
1	1	[]	[]	[]	1.12036047295	[]	[]	[]
1	2	[]	[]	[]	0.25991386486	[]	[]	[]
1	3	[]	[]	[]	0.484154449113	[]	[]	[]
2	0	[]	[]	-1.08433473308	-0.247725461977	0.238327345779	[]	[]
2	1	[]	[]	0.763677636699	-0.207691946301	-0.333253997664	[]	[]
2	2	[]	[]	-0.554994192406	-0.104288799014	-0.663899213291	[]	[]
2	3	[]	[]	-0.301543216567	-3.12342906187	0.267300278574	[]	[]
3	0	[]	7.72568432311	-0.664423198979	-0.505847635547	-0.84925350573	1.562196796	[]
3	1	[]	3.172140394	1.0139991038	-0.966480112064	-0.760420132526	-1.10083298532	[]
3	2	[]	-0.41598981981	-0.550379823687	-0.447756684385	-0.158536193123	0.0670322565831	[]
3	3	[]	-0.491081916598	-0.460650024725	-3.86877953048	0.958905764431	0.511085111118	[]
4	0	[]	[]	-1.06267116755	-0.330433070441	0.23427536151	[]	[]
4	1	[]	[]	0.689029567138	-0.257517518131	-0.386708737031	[]	[]
4	2	[]	[]	-0.929722144208	0.136250612108	-0.452012269444	[]	[]
4	3	[]	[]	-0.185137949408	-3.21762339242	0.402956624747	[]	[]
5	0	[]	[]	[]	0.846493359466	[]	[]	[]
5	1	[]	[]	[]	1.10567953822	[]	[]	[]
5	2	[]	[]	[]	0.276310383964	[]	[]	[]
5	3	[]	[]	[]	0.496522591792	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
