c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	-0.492401276494	[]	[]	[]
2	1	[]	[]	[]	1.19935637315	[]	[]	[]
2	2	[]	[]	[]	1.2729825466	[]	[]	[]
2	3	[]	[]	[]	-0.572538794546	[]	[]	[]
3	0	[]	[]	0.711319973642	1.29006544044	0.864638753184	[]	[]
3	1	[]	[]	0.297782907052	0.0670622345131	1.12036047295	[]	[]
3	2	[]	[]	1.50509208718	0.000424434517702	0.25991386486	[]	[]
3	3	[]	[]	1.86709082632	1.54050480283	0.484154449113	[]	[]
4	0	[]	[]	[]	0.789379997361	[]	[]	[]
4	1	[]	[]	[]	0.323507233274	[]	[]	[]
4	2	[]	[]	[]	0.78824484236	[]	[]	[]
4	3	[]	[]	[]	0.723771381661	[]	[]	[]
5	0	[]	[]	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	[]	[]
5	2	[]	[]	[]	[]	[]	[]	[]
5	3	[]	[]	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
6	2	[]	[]	[]	[]	[]	[]	[]
6	3	[]	[]	[]	[]	[]	[]	[]
