b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	9.7647174126	[]	[]	[]
0	1	[]	[]	[]	2.06641234085	[]	[]	[]
0	2	[]	[]	[]	0.135426716196	[]	[]	[]
0	3	[]	[]	[]	-0.885626006934	[]	[]	[]
1	0	[]	[]	0.323854657019	12.1063888026	0.191740654215	[]	[]
1	1	[]	[]	0.327031829987	1.40651892286	0.315904977917	[]	[]
1	2	[]	[]	-0.00538459748734	-1.02829626062	-0.42414042838	[]	[]
1	3	[]	[]	-1.194192759	-1.68872742069	-0.918618798055	[]	[]
2	0	[]	0.711319973642	0.932869183106	6.97496257999	0.853414286562	0.690812043834	[]
2	1	[]	0.297782907052	0.287210355443	-1.02061191455	0.241661201644	0.285065990379	[]
2	2	[]	1.50509208718	-0.243375978121	-0.820631343838	-0.287626813807	1.50701597239	[]
2	3	[]	1.86709082632	-3.22257013434	-0.932788239251	-3.17250505453	1.88920765546	[]
3	0	2.44274880118	1.29006544044	0.572530011211	0.0	0.510979799132	1.2644673596	2.43655301443
3	1	1.29822311861	0.0670622345131	-0.302584112476	-0.903938075794	-0.348753252964	0.0565098600846	1.28663507189
3	2	1.40419292113	0.000424434517702	-0.288917710017	-0.768657335628	-0.0956629403939	0.0126329726798	1.3966555055
3	3	2.11896549598	1.54050480283	-1.47123182415	-1.74600094153	-1.27209194792	1.5554670947	2.11708496799
4	0	[]	0.864638753184	-0.247725461977	-0.505847635547	-0.330433070441	0.846493359466	[]
4	1	[]	1.12036047295	-0.207691946301	-0.966480112064	-0.257517518131	1.10567953822	[]
4	2	[]	0.25991386486	-0.104288799014	-0.447756684385	0.136250612108	0.276310383964	[]
4	3	[]	0.484154449113	-3.12342906187	-3.86877953048	-3.21762339242	0.496522591792	[]
5	0	[]	[]	-0.195898066835	-0.165569514626	-0.258950959846	[]	[]
5	1	[]	[]	0.690941269357	-0.729785475133	0.660713403973	[]	[]
5	2	[]	[]	-0.16979924529	-0.869728408026	0.0532868921052	[]	[]
5	3	[]	[]	-1.33092776099	-4.57831745069	-1.13863341099	[]	[]
6	0	[]	[]	[]	-0.874348045736	[]	[]	[]
6	1	[]	[]	[]	0.465000026884	[]	[]	[]
6	2	[]	[]	[]	-0.794932107731	[]	[]	[]
6	3	[]	[]	[]	-0.78852282769	[]	[]	[]
