c\b	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
1	0	[]	0.0278685348886	[]
1	1	[]	0.0251308989456	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
