b\a	mol	0	1	2
0	0	[]	0.0242764836556	[]
0	1	[]	0.0261996393613	[]
1	0	0.0278685348886	0.0	0.0282378989513
1	1	0.0251308989456	0.0209777110411	0.0496985411224
2	0	[]	0.0267695372668	[]
2	1	[]	0.0429180257978	[]
