b\a	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
1	0	[]	0.0261590643915	[]
1	1	[]	0.0271935708142	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
