b\a	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
1	0	[]	0.0284143536784	[]
1	1	[]	0.0403035715828	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
