a\c	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
1	0	[]	0.0267695372668	[]
1	1	[]	0.0429180257978	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
