b\a	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
0	2	[]	[]	[]
0	3	[]	[]	[]
1	0	[]	-2.76167548404	[]
1	1	[]	-3.3810668656	[]
1	2	[]	-1.79722430658	[]
1	3	[]	-3.39908518282	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
2	2	[]	[]	[]
2	3	[]	[]	[]
