c\b	mol	0	1	2
0	0	[]	[]	[]
0	1	[]	[]	[]
0	2	[]	[]	[]
0	3	[]	[]	[]
1	0	[]	-0.461700301044	[]
1	1	[]	-1.63379264164	[]
1	2	[]	-1.53457922753	[]
1	3	[]	-0.808378050297	[]
2	0	[]	[]	[]
2	1	[]	[]	[]
2	2	[]	[]	[]
2	3	[]	[]	[]
