a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.529743092291	[]	[]	[]	[]
2	0	[]	[]	[]	0.578163030377	0.448657059629	0.561541710418	[]	[]	[]
3	0	[]	[]	0.638344695334	0.52863148393	0.310099534775	0.517272760869	0.636031534985	[]	[]
4	0	[]	0.721191653131	0.606105776857	0.497522707729	0.266201249947	0.507563527648	0.610170720039	0.721948883084	[]
5	0	[]	[]	0.597243303778	0.493954349652	0.42135868272	0.519037425947	0.60698960763	[]	[]
6	0	[]	[]	[]	0.510237951396	0.514516122831	0.532231615742	[]	[]	[]
7	0	[]	[]	[]	[]	0.547711445263	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
