a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	2.0079017173	[]	[]	[]
0	1	[]	[]	[]	1.73823814198	[]	[]	[]
1	0	[]	[]	1.96076867413	1.62815261858	1.96452480889	[]	[]
1	1	[]	[]	1.68822345982	1.44719202096	1.69148516045	[]	[]
2	0	[]	1.9866462152	1.59988727197	0.931545698701	1.60228086719	1.98727614043	[]
2	1	[]	1.72408093094	1.47769551833	0.807299379839	1.4788450524	1.72453904492	[]
3	0	2.08181330667	1.65121492346	1.46670056357	0.0	1.46676880245	1.65135528256	2.08187623332
3	1	2.06900112986	1.66348205265	1.4690604916	0.803858383051	1.46803025173	1.66319841407	2.06889013287
4	0	[]	1.73651117997	1.48028242917	0.91977506304	1.47821895405	1.73591141953	[]
4	1	[]	1.97488623226	1.61810385723	1.42960948886	1.61514593185	1.97413935963	[]
5	0	[]	[]	1.7059671563	1.49033053458	1.70221293395	[]	[]
5	1	[]	[]	1.95566667978	1.65529489534	1.95186686108	[]	[]
6	0	[]	[]	[]	1.74766500422	[]	[]	[]
6	1	[]	[]	[]	1.99443690172	[]	[]	[]
