b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	2.02027899567	[]	[]	[]
1	1	[]	[]	[]	1.73812114756	[]	[]	[]
2	0	[]	[]	1.93256971787	1.60873302043	1.68700818955	[]	[]
2	1	[]	[]	1.53808174722	1.4803896721	1.67129430852	[]	[]
3	0	[]	1.96076867413	1.59988727197	1.46670056357	1.48028242917	1.7059671563	[]
3	1	[]	1.68822345982	1.47769551833	1.4690604916	1.61810385723	1.95566667978	[]
4	0	[]	[]	1.68033450001	1.48226937509	1.54386411838	[]	[]
4	1	[]	[]	1.67605598457	1.62562061821	1.92715896287	[]	[]
5	0	[]	[]	[]	1.75324188316	[]	[]	[]
5	1	[]	[]	[]	2.01206958422	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
