a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.73489412616	[]	[]	[]
1	1	[]	[]	[]	1.72557186216	[]	[]	[]
2	0	[]	[]	1.68033450001	1.52449264539	1.68273088738	[]	[]
2	1	[]	[]	1.67605598457	1.5096814117	1.67744662388	[]	[]
3	0	[]	1.77503505471	1.48226937509	1.30840843175	1.48234462334	1.77519737273	[]
3	1	[]	2.02429321075	1.62562061821	1.50160576005	1.62461512213	2.02405719394	[]
4	0	[]	[]	1.54386411838	1.49590594633	1.54184432717	[]	[]
4	1	[]	[]	1.92715896287	1.65812055256	1.92457633809	[]	[]
5	0	[]	[]	[]	1.57735178942	[]	[]	[]
5	1	[]	[]	[]	1.970275278	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
