b\a	mol	0	1	2	3	4
0	0	[]	[]	0.636679871352	[]	[]
0	1	[]	[]	0.571250035182	[]	[]
1	0	[]	0.49251033765	0.474426163097	0.46117935739	[]
1	1	[]	0.267662243864	0.351395506729	0.501383374289	[]
2	0	0.532278181764	0.258961547148	0.0	0.224382490655	0.470065930333
2	1	0.387825203275	0.242657204378	0.296708320189	0.447804588952	0.544269462614
3	0	[]	0.473694475078	0.432796138876	0.423171633579	[]
3	1	[]	0.49247028458	0.495671626154	0.549070209789	[]
4	0	[]	[]	0.576279879352	[]	[]
4	1	[]	[]	0.640105258964	[]	[]
