[[ 0.1142291   0.10633663 -0.00399447]]
[[ 0.01312355  0.01015825  0.06389853]]
[[ 0.01549571  0.0109571   0.06412275]]
[[ 0.07199608  0.13139362 -0.00399428]]
[[ 0.05924489  0.08393082 -0.00248319]]
[[ 0.14563032 -0.06967046 -0.00604357]]
[[ 0.1416773  -0.05035183 -0.00672073]]
[[ 0.02014496  0.00116616 -0.06286648]]
[[ 0.02257512  0.00140215 -0.06246708]]
[[ 0.23029147  0.02389132 -0.01218   ]]
[[ 0.14235568  0.01569913 -0.00605446]]
[[ 0.01813559  0.00144307  0.06234554]]
[[ 0.02064131  0.00104258  0.06179904]]
[[ 0.14618703  0.09949515 -0.00738929]]
[[ 0.09647879  0.05343625 -0.00450192]]
[[ 0.11810801  0.01207379 -0.00563371]]
[[ 0.09762363  0.00512716 -0.00554372]]
