[[ 0.01254635  0.10033491  0.00027345]]
[[-0.0016685   0.02236194  0.05341397]]
[[ 0.00155097  0.02411089  0.05238155]]
[[-0.0012479   0.08623086 -0.00056004]]
[[ 0.00715061  0.07273643  0.00010746]]
[[ 0.25921284  0.25726878 -0.02299689]]
[[ 0.17798941  0.01947615 -0.01095588]]
[[ 0.00892286  0.00778937 -0.08415563]]
[[ 0.01201189  0.00865395 -0.07476229]]
[[ 0.22341002 -0.09483377 -0.01360651]]
[[ 0.31222217 -0.08072984 -0.02202267]]
[[ 0.00561824  0.00845689  0.08414623]]
[[ 0.00908224  0.00878687  0.07497664]]
[[ 0.00290084  0.00257206 -0.03429812]]
[[ 0.00416394  0.00348132 -0.03465606]]
[[ 0.00731992  0.01345136 -0.06530162]]
[[ 0.0102411   0.01369556 -0.0610023 ]]
[[ 1.02551437  0.18511917 -0.10263659]]
[[ 0.29371668  0.14525415 -0.01925386]]
[[ 0.00474379  0.01383561  0.06488919]]
[[ 0.00782445  0.01363567  0.06097942]]
[[ 0.00113576  0.00269603  0.03456602]]
[[ 0.00244624  0.00343129  0.03518142]]
[[ 0.00640995  0.01776596 -0.05683108]]
[[ 0.00979305  0.01874714 -0.05679559]]
[[ 0.18407352  0.31588213 -0.01546201]]
[[ 0.07934723  0.12388735 -0.00257193]]
[[ 0.00424161  0.01800835  0.05632765]]
[[ 0.00766239  0.01853177  0.05674926]]
[[ 0.03599335  0.12631208 -0.0026875 ]]
[[ 0.0341992   0.08467106 -0.00139011]]
[[ 0.17103022  0.02826454 -0.00979099]]
[[ 0.1494755   0.00852738 -0.00765834]]
[[ 0.01454474  0.01286677 -0.06816027]]
[[ 0.0172651   0.01182812 -0.06440372]]
[[ 0.21412559  0.07855363 -0.01257423]]
[[ 0.12700866  0.05268874 -0.00544437]]
[[ 0.01186809  0.01360965  0.06780458]]
[[ 0.01482204  0.01196727  0.06421645]]
[[ 0.11857493  0.12298516 -0.00665809]]
[[ 0.07564143  0.07179295 -0.00347899]]
[[ 0.11668987  0.05029448 -0.00656455]]
[[ 0.09270239  0.03076154 -0.00547886]]
