c\b	mol	0	1	2	3	4
0	0	[]	[]	0.85760879988	[]	[]
0	1	[]	[]	0.857150528414	[]	[]
0	2	[]	[]	0.838658144948	[]	[]
0	3	[]	[]	0.843558088633	[]	[]
1	0	[]	0.833762695473	0.655108173321	0.774863587522	[]
1	1	[]	0.771606986973	0.664658748534	0.838701121017	[]
1	2	[]	0.779092728645	0.502178109349	0.697974893752	[]
1	3	[]	0.704759617441	0.592375805172	0.809854497599	[]
2	0	0.837783356079	0.616688457102	0.0	0.539103915985	0.783256660609
2	1	0.777820851951	0.422073350304	0.347833853275	0.643424171884	0.843751578212
2	2	0.840139110797	0.610732927245	0.417797642324	0.542177527886	0.777428263081
2	3	0.777639142466	0.546105618869	0.519477618851	0.666564039321	0.850018626528
3	0	[]	0.820578681589	0.638174897738	0.765449339184	[]
3	1	[]	0.753086528832	0.648756106658	0.826330118007	[]
3	2	[]	0.84892795246	0.68016004954	0.785856640877	[]
3	3	[]	0.78833983315	0.694322757669	0.853496629866	[]
4	0	[]	[]	0.846531623663	[]	[]
4	1	[]	[]	0.84200706029	[]	[]
4	2	[]	[]	0.860931328075	[]	[]
4	3	[]	[]	0.862123959346	[]	[]
