a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.715694909209	[]	[]
1	1	[]	[]	0.359256805847	[]	[]
1	2	[]	[]	0.706258085926	[]	[]
1	3	[]	[]	0.515164836511	[]	[]
2	0	[]	0.833762695473	0.616688457102	0.820578681589	[]
2	1	[]	0.771606986973	0.422073350304	0.753086528832	[]
2	2	[]	0.779092728645	0.610732927245	0.84892795246	[]
2	3	[]	0.704759617441	0.546105618869	0.78833983315	[]
3	0	[]	[]	0.645702038447	[]	[]
3	1	[]	[]	0.694502048287	[]	[]
3	2	[]	[]	0.660763889464	[]	[]
3	3	[]	[]	0.712377141756	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
