c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.976883016543	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	2.64897798407	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	2.1830147442	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	4.48100636084	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.20216702876	1.72526227212	1.86026690545	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.45136702	1.25936137448	2.42507609541	[]	[]	[]	[]
2	2	[]	[]	[]	[]	2.60707851888	6.4832514737	4.09077895832	[]	[]	[]	[]
2	3	[]	[]	[]	[]	3.18092139438	1.77091395363	1.5331022265	[]	[]	[]	[]
3	0	[]	[]	[]	1.10505029901	1.95590422381	1.83363365538	1.23970399887	1.3231783414	[]	[]	[]
3	1	[]	[]	[]	2.22404761447	1.67257291062	1.40710734709	1.27813049337	2.09333476203	[]	[]	[]
3	2	[]	[]	[]	2.41039236208	2.05631319325	1.77538846339	1.75514090848	1.4866448463	[]	[]	[]
3	3	[]	[]	[]	4.66218989826	4.18079999468	2.15173461678	3.14768430855	2.75272066963	[]	[]	[]
4	0	[]	[]	1.01530853501	1.11334422103	1.0657318691	1.18433088086	1.17759536789	1.19297900806	0.926235440825	[]	[]
4	1	[]	[]	1.14946769066	1.1986915818	1.02621325256	0.815224550245	0.980637263886	0.695896569204	2.02291280335	[]	[]
4	2	[]	[]	2.01412162008	2.97518680845	1.71757041087	2.42168445242	1.9073504848	1.5912438929	2.19212018701	[]	[]
4	3	[]	[]	1.74562620823	1.49112579774	1.10700248612	1.06434227508	0.892424134545	1.51874696092	2.69675457963	[]	[]
5	0	[]	2.10740767285	2.57647858024	1.98935614701	1.45923224123	1.20392285742	1.01564507163	0.848712336574	0.631391425576	0.509087518267	[]
5	1	[]	1.79805538341	1.69271651574	1.15627023744	1.02953911139	0.967299984847	0.809179393529	0.731405142633	1.08570451662	2.09754355204	[]
5	2	[]	1.94204768587	1.29221929706	1.42011282087	1.05719701093	1.1184319477	1.18044018543	1.74171183317	3.2346979174	3.36444758156	[]
5	3	[]	0.727384520074	0.679367114524	1.99021594483	1.78001499498	2.77785140134	3.9484786155	4.62897137727	3.41874242107	2.00224207723	[]
6	0	[]	[]	2.19824647896	2.59789095409	1.96756980475	1.43785896506	1.26269212559	0.657258405344	0.447740924305	[]	[]
6	1	[]	[]	1.83490295019	1.39525745244	1.03483100195	0.728394139022	0.0984767436593	0.143363543268	0.349622036615	[]	[]
6	2	[]	[]	0.45924935422	1.5420167801	0.574357058301	1.4676939622	1.22385895622	1.51519120086	1.88839651401	[]	[]
6	3	[]	[]	2.64306924597	2.34771017829	2.55116669192	2.81959884155	4.26393478493	6.46011055008	2.37253086446	[]	[]
7	0	[]	[]	[]	1.99048582166	1.94009286908	1.73083657437	1.45293857126	1.2344957012	[]	[]	[]
7	1	[]	[]	[]	1.65170527295	1.56350936977	0.765754036898	0.279313362586	-0.181008299453	[]	[]	[]
7	2	[]	[]	[]	1.78738908762	2.972938092	4.1954013347	4.25685016768	3.24131780672	[]	[]	[]
7	3	[]	[]	[]	4.48620058426	4.76074636938	3.29769229329	5.60872187908	2.77364512884	[]	[]	[]
8	0	[]	[]	[]	[]	1.75180598785	1.85583088417	1.77839433713	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.54167618624	1.31681702413	0.82576165892	[]	[]	[]	[]
8	2	[]	[]	[]	[]	2.00744351605	2.13817006795	1.81188792548	[]	[]	[]	[]
8	3	[]	[]	[]	[]	3.11282945165	2.74162482345	1.88956040947	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	1.86655576657	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	1.57392177017	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	3.43763928228	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	1.95706410102	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
