b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	-0.1486550058	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.09705649245	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	1.54412694238	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	4.07893939657	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.20486549815	0.788416899236	1.10505029901	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.2749376949	1.24190857634	2.22404761447	[]	[]	[]	[]
3	2	[]	[]	[]	[]	2.31787580236	1.79428144107	2.41039236208	[]	[]	[]	[]
3	3	[]	[]	[]	[]	3.19658280766	0.940537588457	4.66218989826	[]	[]	[]	[]
4	0	[]	[]	[]	17.531246689	2.02416906124	0.91127025101	1.95590422381	24.7563014707	[]	[]	[]
4	1	[]	[]	[]	14.5329949084	1.74203412147	1.15378116692	1.67257291062	20.7208902073	[]	[]	[]
4	2	[]	[]	[]	2.17533011996	1.94679394493	1.61995624775	2.05631319325	2.25365467337	[]	[]	[]
4	3	[]	[]	[]	1.8336418893	2.61117225818	1.02544555401	4.18079999468	1.91826926812	[]	[]	[]
5	0	[]	[]	-0.864276828537	9.93533163808	1.8902832196	1.21741724097	1.83363365538	13.7497418019	-0.881898412847	[]	[]
5	1	[]	[]	1.99617482412	6.55605803775	1.47633581216	0.897115646409	1.40710734709	9.12954874821	2.01853185682	[]	[]
5	2	[]	[]	2.2491836996	1.75830772825	1.52362023463	1.50656010508	1.77538846339	1.84858456995	2.25415688691	[]	[]
5	3	[]	[]	0.394995328958	1.39476326706	1.31842206107	1.16491400539	2.15173461678	1.4159200057	0.286024541819	[]	[]
6	0	[]	[]	[]	12.8607645938	1.27338033333	0.99049339733	1.23970399887	18.0635635381	[]	[]	[]
6	1	[]	[]	[]	3.52495215306	1.32194971555	0.879248570102	1.27813049337	3.89946882066	[]	[]	[]
6	2	[]	[]	[]	1.34199359563	1.56186386976	1.29332130234	1.75514090848	1.41858658721	[]	[]	[]
6	3	[]	[]	[]	1.20244097648	1.76701835061	0.548855457462	3.14768430855	1.23745527176	[]	[]	[]
7	0	[]	[]	[]	[]	1.34905978895	1.15660125314	1.3231783414	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.06252972534	0.936679075699	2.09333476203	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.36946089095	0.9906052549	1.4866448463	[]	[]	[]	[]
7	3	[]	[]	[]	[]	1.49281657494	0.437554632658	2.75272066963	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.37571444039	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	2.02456879398	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	1.11299405696	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	0.310637391652	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
