a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.21061935494	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.16533353902	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	1.590090955	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	0.668012493499	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	4.13324343409	1.04861008999	1.39710712102	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.08944654624	1.40223587082	0.946917937709	[]	[]	[]	[]
3	2	[]	[]	[]	[]	1.34130014992	0.64113212799	1.48940813306	[]	[]	[]	[]
3	3	[]	[]	[]	[]	0.816435497662	-3.57195105223	1.9110150272	[]	[]	[]	[]
4	0	[]	[]	[]	1.34905978895	1.18311273133	0.840443644687	0.634518554956	1.2056479752	[]	[]	[]
4	1	[]	[]	[]	2.06252972534	0.726595295824	0.734501564326	0.130269597842	-0.21147085123	[]	[]	[]
4	2	[]	[]	[]	1.36946089095	1.34906938388	1.47422022303	1.71786254252	2.60024541327	[]	[]	[]
4	3	[]	[]	[]	1.49281657494	1.3184790162	2.19420314824	5.73456845867	2.4365708815	[]	[]	[]
5	0	[]	[]	1.33013981929	1.15660125314	1.39862453514	2.85298257388	4.42334393113	5.13751252129	2.10250526935	[]	[]
5	1	[]	[]	1.93237184619	0.936679075699	1.24133414586	1.37528954134	6.31792388915	13.4387894774	6.52423085029	[]	[]
5	2	[]	[]	1.41876350975	0.9906052549	1.07529322332	1.15973065695	1.41679273223	1.27345301454	1.26336160015	[]	[]
5	3	[]	[]	0.883688946994	0.437554632658	0.700984513242	2.73695120783	0.760208217945	0.713679148231	1.64511498893	[]	[]
6	0	[]	[]	[]	1.3231783414	1.19297900806	0.848712336574	0.657258405344	1.2344957012	[]	[]	[]
6	1	[]	[]	[]	2.09333476203	0.695896569204	0.731405142633	0.143363543268	-0.181008299453	[]	[]	[]
6	2	[]	[]	[]	1.4866448463	1.5912438929	1.74171183317	1.51519120086	3.24131780672	[]	[]	[]
6	3	[]	[]	[]	2.75272066963	1.51874696092	4.62897137727	6.46011055008	2.77364512884	[]	[]	[]
7	0	[]	[]	[]	[]	5.55797996018	1.03187995277	1.39860423408	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.05661805665	1.6194771895	1.08278228878	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.37725614728	0.633054852973	1.48144477391	[]	[]	[]	[]
7	3	[]	[]	[]	[]	0.789099362607	-3.46440654419	1.90599086441	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.19837329372	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	2.1391450425	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	1.49165087975	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	0.311751256686	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
