c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	14.0630746999	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	6.27949495515	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	2.18041004193	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	0.944055790058	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	17.531246689	9.93533163808	12.8607645938	[]	[]	[]	[]
3	1	[]	[]	[]	[]	14.5329949084	6.55605803775	3.52495215306	[]	[]	[]	[]
3	2	[]	[]	[]	[]	2.17533011996	1.75830772825	1.34199359563	[]	[]	[]	[]
3	3	[]	[]	[]	[]	1.8336418893	1.39476326706	1.20244097648	[]	[]	[]	[]
4	0	[]	[]	[]	1.42737353332	5.22775524592	5.76820735351	1.73061881046	4.13324343409	[]	[]	[]
4	1	[]	[]	[]	12.4508347081	7.2983435982	6.14453980827	4.74500810683	2.08944654624	[]	[]	[]
4	2	[]	[]	[]	1.84571109728	-0.0427202453281	0.676050786508	1.09264414181	1.34130014992	[]	[]	[]
4	3	[]	[]	[]	-0.179003600187	1.02562660556	0.916966287914	1.14834895751	0.816435497662	[]	[]	[]
5	0	[]	[]	7.94469580855	9.56196410992	5.84310197993	1.72561031458	1.21171052696	1.04861008999	0.937744778931	[]	[]
5	1	[]	[]	2.08971831473	1.97974904813	1.1434098892	0.939728339942	1.53342190003	1.40223587082	2.07821769159	[]	[]
5	2	[]	[]	1.56590184669	0.705943372447	0.932697921096	0.867987513439	1.13168258779	0.64113212799	0.598019803155	[]	[]
5	3	[]	[]	0.805716122291	-0.0947579432923	0.642495157884	-0.238445912033	-2.64954097137	-3.57195105223	0.498890902003	[]	[]
6	0	[]	[]	[]	2.81739771711	2.18447651343	1.71092054327	1.75997962006	1.39710712102	[]	[]	[]
6	1	[]	[]	[]	1.88986933539	1.615410415	1.3803621899	0.812975905283	0.946917937709	[]	[]	[]
6	2	[]	[]	[]	0.785834734751	0.839058905661	0.914864383747	1.3267157375	1.48940813306	[]	[]	[]
6	3	[]	[]	[]	1.15638024075	1.19081949604	1.78797141169	2.16365307636	1.9110150272	[]	[]	[]
7	0	[]	[]	[]	[]	1.77520944677	1.92958756601	2.26988980166	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.74739669629	1.32678201143	1.06380915809	[]	[]	[]	[]
7	2	[]	[]	[]	[]	0.303713889249	0.975206122602	1.47212529554	[]	[]	[]	[]
7	3	[]	[]	[]	[]	2.03879946495	1.99280467257	1.87727721648	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.90138648351	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	2.37908678811	[]	[]	[]	[]	[]
8	2	[]	[]	[]	[]	[]	1.38843815431	[]	[]	[]	[]	[]
8	3	[]	[]	[]	[]	[]	1.96402010124	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
