[[-0.00128577  0.00071774  0.0009606 ]]
[[-0.01625303  0.00768409 -0.00214776]]
[[-0.02307721  0.00688065 -0.00130508]]
[[-0.02721609  0.01027893  0.00052045]]
[[ 0.0003223  -0.00074651  0.00076803]]
[[-0.02434793  0.01084378 -0.0003209 ]]
[[-0.02370975  0.00915539  0.00531747]]
[[ 0.00034856 -0.00135665  0.00229934]]
[[-0.01682218  0.00873439 -0.00143323]]
[[-0.00656295  0.00154079  0.00458131]]
[[-0.01706386  0.00713976  0.00195242]]
[[-0.00560515  0.00440622 -0.00405208]]
[[-0.02245963  0.0119984  -0.00446409]]
[[ 0.0008703   0.00023709 -0.00295728]]
[[ -2.40470944e-02   9.92838415e-03  -6.15408390e-05]]
[[-0.02644461  0.00758677 -0.00032095]]
[[ 0.00023359 -0.00088032 -0.00112474]]
[[-0.01771512  0.00373948 -0.00598562]]
[[ -6.01550289e-03  -5.25314670e-05   4.14617699e-03]]
[[-0.00984931  0.00231144  0.00936962]]
[[-0.01861667  0.00357453  0.01232907]]
[[-0.00198691 -0.00249672  0.00722374]]
[[-0.01943617 -0.0051733   0.01970205]]
[[-0.00583955 -0.00171727  0.01164863]]
[[-0.01151842  0.00135939  0.00147395]]
[[-0.00204643 -0.00024639  0.00052853]]
[[-0.01897366  0.01150519  0.01686231]]
[[-0.00262452  0.00631269  0.00508966]]
[[  1.40849438e-03  -1.20279313e-06   3.15096255e-03]]
[[-0.00063545 -0.00058175  0.00701471]]
[[-0.0149302   0.00286503  0.01564711]]
[[-0.01039094  0.00208941  0.00454616]]
[[-0.00584679 -0.00075719  0.01782874]]
[[ 0.00153901  0.0006681   0.00214908]]
[[-0.00050261  0.00111028  0.00108929]]
[[-0.00549488  0.00089417  0.00319375]]
[[-0.00847461  0.00487994  0.01338788]]
[[-0.00614005  0.00244559  0.00220138]]
[[-0.00229347 -0.00249566  0.00534612]]
[[ 0.00073886  0.00098134  0.0017893 ]]
[[-0.00915132  0.00273818  0.00927226]]
[[-0.0007705   0.00200661  0.00200638]]
[[-0.01355386  0.0008641   0.00907707]]
[[-0.00238506  0.0025943   0.00129436]]
[[-0.0064014  -0.00104087  0.00036992]]
[[-0.00032912  0.00066039  0.00250148]]
[[-0.01200906  0.00273596  0.00544275]]
[[-0.00261427 -0.00154254  0.00364514]]
[[-0.0006567   0.00141233  0.00141223]]
[[-0.00566754  0.00059152 -0.00060651]]
[[-0.00067064  0.00022795 -0.00114392]]
[[-0.01098042  0.00819402 -0.0036863 ]]
[[-0.00617102  0.01948326 -0.0003097 ]]
[[-0.00877112  0.01238673  0.00121221]]
[[ 0.00046242  0.00064896 -0.00117176]]
[[-0.00413204  0.005206    0.00066112]]
[[ 0.00251406  0.00864095  0.00296515]]
[[ 0.00112083  0.00115894 -0.00138243]]
[[ 0.00261489 -0.00193694  0.00341068]]
[[ 0.00371705  0.00025031 -0.00127395]]
[[ 0.00591264 -0.00387162  0.00786613]]
[[ 0.00325859 -0.00185399  0.00382225]]
[[-0.00020857 -0.00230931 -0.00052608]]
[[ 0.00086032 -0.00216633 -0.00124241]]
[[ 0.00213358 -0.00929022 -0.00153376]]
[[-0.00234011  0.00613675 -0.01209486]]
[[  8.66937245e-05   1.94512184e-05  -5.10994763e-03]]
[[-0.00767747  0.01608696 -0.00012876]]
[[-0.00021148  0.00027136 -0.01007134]]
[[-0.00557705  0.00144286 -0.01365035]]
[[-0.01612259 -0.0015096  -0.01305839]]
[[ 0.0009833   0.00232589 -0.00420977]]
[[-0.00878462  0.02144233 -0.0348243 ]]
[[-0.00124979  0.00930203 -0.01942828]]
[[  3.50609895e-05   1.18234215e-03  -4.60203022e-04]]
[[-0.00135385  0.00932168  0.00364694]]
[[-0.01366975  0.00877401 -0.00803719]]
