c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	8.01942424141	[]	[]
1	1	[]	[]	4.60416666065	[]	[]
1	2	[]	[]	4.48935675751	[]	[]
1	3	[]	[]	7.07670192735	[]	[]
2	0	[]	3.01964799638	2.63401663369	6.88687141362	[]
2	1	[]	6.0123516122	4.16902921857	3.3730814775	[]
2	2	[]	3.10160419432	3.95592322822	5.98104969115	[]
2	3	[]	6.42652226048	3.07652614808	3.33130238001	[]
3	0	[]	[]	5.25114501186	[]	[]
3	1	[]	[]	4.41574682112	[]	[]
3	2	[]	[]	5.00125106284	[]	[]
3	3	[]	[]	4.39507331259	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
