b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	3.52231061966	[]	[]
1	1	[]	[]	1.55690628575	[]	[]
1	2	[]	[]	1.60964550641	[]	[]
1	3	[]	[]	1.20782526875	[]	[]
2	0	[]	5.25114501186	0.230794913431	[]	[]
2	1	[]	4.41574682112	2.81705391335	[]	[]
2	2	[]	5.00125106284	3.31121144345	[]	[]
2	3	[]	4.39507331259	[]	[]	[]
3	0	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
