b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.574897339301	[]	[]
1	1	[]	[]	4.94995408694	[]	[]
1	2	[]	[]	4.13784254414	[]	[]
1	3	[]	[]	1.78066989891	[]	[]
2	0	[]	8.01942424141	3.21247770682	[]	[]
2	1	[]	4.60416666065	4.23452472132	[]	[]
2	2	[]	4.48935675751	0.0678440013095	[]	[]
2	3	[]	7.07670192735	3.09714303905	[]	[]
3	0	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
