c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	0.574897339301	3.21247770682	[]	[]
1	1	[]	4.94995408694	4.23452472132	[]	[]
1	2	[]	4.13784254414	0.0678440013095	[]	[]
1	3	[]	1.78066989891	3.09714303905	[]	[]
2	0	[]	0.573866684751	0.0	[]	[]
2	1	[]	3.46564555425	3.25593296445	[]	[]
2	2	[]	1.12881591599	1.24743995725	[]	[]
2	3	[]	3.31464607873	2.46559900284	[]	[]
3	0	[]	3.52231061966	0.230794913431	[]	[]
3	1	[]	1.55690628575	2.81705391335	[]	[]
3	2	[]	1.60964550641	3.31121144345	[]	[]
3	3	[]	1.20782526875	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
