a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.77554564931	[]	[]
1	1	[]	[]	2.86209195366	[]	[]
1	2	[]	[]	2.74466880716	[]	[]
1	3	[]	[]	2.89492090305	[]	[]
2	0	[]	2.29892944959	1.68360243499	2.60916916222	[]
2	1	[]	2.85659794919	2.17151205062	2.24086252257	[]
2	2	[]	2.59141587801	2.1711567358	2.29038709344	[]
2	3	[]	2.33483527096	2.23507248255	2.7826641942	[]
3	0	[]	[]	2.7769512359	[]	[]
3	1	[]	[]	2.85130896106	[]	[]
3	2	[]	[]	2.77637860178	[]	[]
3	3	[]	[]	2.93162022147	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
