c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.45708807579	[]	[]
1	1	[]	[]	2.75446713764	[]	[]
1	2	[]	[]	2.82056220065	[]	[]
1	3	[]	[]	2.42153969704	[]	[]
2	0	[]	2.91699150728	2.35186415905	2.7769512359	[]
2	1	[]	2.68770866995	2.26365481971	2.85130896106	[]
2	2	[]	2.91263223975	2.35714505278	2.77637860178	[]
2	3	[]	2.77588014479	2.311689235	2.93162022147	[]
3	0	[]	[]	2.82792202832	[]	[]
3	1	[]	[]	2.36024118892	[]	[]
3	2	[]	[]	2.46222798756	[]	[]
3	3	[]	[]	2.83700261442	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
