c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.46990696917	[]	[]
1	1	[]	[]	2.7733024416	[]	[]
1	2	[]	[]	2.81256017869	[]	[]
1	3	[]	[]	2.40232897205	[]	[]
2	0	[]	2.91038994946	2.3519463336	2.77554564931	[]
2	1	[]	2.69255280937	2.27407389459	2.86209195366	[]
2	2	[]	2.86212352166	2.29959950098	2.74466880716	[]
2	3	[]	2.68724341116	2.25050808341	2.89492090305	[]
3	0	[]	[]	2.81514492634	[]	[]
3	1	[]	[]	2.3571362169	[]	[]
3	2	[]	[]	2.37558293164	[]	[]
3	3	[]	[]	2.76470844252	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
