b\a	mol	0	1	2
0	0	[]	1.4084756491	[]
0	1	[]	0.602161129693	[]
1	0	0.0992477127305	0.0	0.826301262569
1	1	0.452874580449	0.791606705135	1.3637872236
2	0	[]	0.869030266247	[]
2	1	[]	1.58501909736	[]
