a\c	mol	0	1	2
0	0	[]	0.0992477127305	[]
0	1	[]	0.452874580449	[]
1	0	0.917312843749	0.0	0.913864094417
1	1	0.920124485977	0.791606705135	0.922134555994
2	0	[]	0.826301262569	[]
2	1	[]	1.3637872236	[]
