c\b	mol	0	1	2
0	0	[]	0.917312843749	[]
0	1	[]	0.920124485977	[]
1	0	1.4084756491	0.0	0.869030266247
1	1	0.602161129693	0.791606705135	1.58501909736
2	0	[]	0.913864094417	[]
2	1	[]	0.922134555994	[]
