c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	0.411163371191	[]	[]	[]
1	1	[]	2.75848746625	[]	[]	[]
1	2	[]	0.903440193616	[]	[]	[]
1	3	[]	0.486594780985	[]	[]	[]
2	0	[]	2.53655936603	0.0	[]	[]
2	1	[]	-0.0169212290079	-0.668944111952	[]	[]
2	2	[]	-0.128141902659	-0.539473175429	[]	[]
2	3	[]	0.786252255798	0.588289139361	[]	[]
3	0	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
