a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	-0.996847871022	0.918453218153	0.796578889333	[]
1	1	[]	0.993901298949	0.00971730357081	0.252598074198	[]
1	2	[]	0.943760680287	-0.395132422777	0.342554966912	[]
1	3	[]	-1.38409149324	0.861063791557	0.751966674018	[]
2	0	[]	[]	0.0	[]	[]
2	1	[]	[]	-0.668944111952	[]	[]
2	2	[]	[]	-0.539473175429	[]	[]
2	3	[]	[]	0.588289139361	[]	[]
3	0	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
