a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.445821919868	[]	[]
1	1	[]	[]	-0.0704141625061	[]	[]
1	2	[]	[]	1.03190008529	[]	[]
1	3	[]	[]	0.823557351332	[]	[]
2	0	[]	0.411163371191	2.53655936603	[]	[]
2	1	[]	2.75848746625	-0.0169212290079	[]	[]
2	2	[]	0.903440193616	-0.128141902659	[]	[]
2	3	[]	0.486594780985	0.786252255798	[]	[]
3	0	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
