[[-0.4014501   0.08110779  0.0338782 ]]
[[-0.30498814  0.32755466  0.0261578 ]]
[[-1.05213893 -1.54170637  0.12415478]]
[[-0.26997568 -0.08690125  0.02315859]]
[[-0.00957659  0.00073466 -0.09463818]]
[[-0.00503494  0.00838815 -0.08666477]]
[[-1.13847283  1.22437868  0.10510836]]
[[-0.27285472  0.72700494  0.02835594]]
[[-0.01258002  0.00092715  0.09395897]]
[[-0.00783748  0.00773579  0.08638764]]
[[-0.15778664  0.25543994  0.0080001 ]]
[[-0.07136204  0.23351193  0.00661719]]
[[ 0.00625488 -0.30908596  0.00436487]]
[[ 0.14703644 -0.47731521 -0.0136279 ]]
[[-0.00147676 -0.00893402 -0.09287984]]
[[ 0.00263642 -0.00244441 -0.0831942 ]]
[[ 0.77824059 -1.50487453 -0.07142504]]
[[ 0.10048843 -1.33121147 -0.01427838]]
[[-0.004328   -0.00860031  0.09231949]]
[[  7.70790472e-05  -2.98599388e-03   8.25990856e-02]]
[[-0.00108147 -0.0002147  -0.03882482]]
[[ 0.00016462  0.00191245 -0.03638441]]
[[-0.00099863  0.00204591 -0.08463197]]
[[ 0.00263544  0.00728429 -0.07658569]]
[[-0.07236117  1.33973584 -0.00632654]]
[[-0.72826604  1.67688409  0.09891851]]
[[-0.00366358  0.00227937  0.08412037]]
[[ 0.00019175  0.00670247  0.07637967]]
[[-0.00292078 -0.00012663  0.03821065]]
[[-0.00162799  0.00177697  0.03603495]]
[[-0.00131146  0.01167842 -0.0803239 ]]
[[ 0.00193371  0.01661292 -0.07431157]]
[[-0.13167163  0.43692134  0.00722911]]
[[-0.00292495  0.28713677  0.0036815 ]]
[[-0.00392311  0.011879    0.0798805 ]]
[[-0.00050591  0.01607844  0.07445559]]
[[-0.02259981  0.17543467  0.00036338]]
[[ 0.00225606  0.1380308   0.00173387]]
[[ 0.02003408 -0.13734075  0.00119069]]
[[ 0.05291104 -0.1585602  -0.00308745]]
[[ 0.00524771 -0.01900894 -0.08627552]]
[[ 0.00896305 -0.01408833 -0.08210679]]
[[ 0.07707032 -0.22092688 -0.0005404 ]]
[[ 0.15750819 -0.2839223  -0.00906871]]
[[ 0.00251309 -0.01846082  0.08616481]]
[[ 0.0063709  -0.01435941  0.08146538]]
[[ 0.00141156 -0.00341502 -0.03909222]]
[[ 0.00261116 -0.00179268 -0.03651835]]
[[ 0.00598258 -0.00753769 -0.08200831]]
[[ 0.00917713 -0.00312842 -0.07530975]]
[[ 0.30063965 -0.64732365 -0.01422923]]
[[ 1.12553507 -1.45036416 -0.11919742]]
[[ 0.00342198 -0.00709545  0.08158553]]
[[ 0.00675583 -0.00350749  0.07475988]]
[[-0.00039047 -0.00329567  0.03901187]]
[[ 0.00085267 -0.00191965  0.03659969]]
[[  6.56911029e-04  -4.74246886e-05  -2.16202779e-02]]
[[ 0.0011388   0.0006187  -0.02140286]]
[[  1.39063846e-03   6.85855365e-05  -3.52176202e-02]]
[[ 0.00258663  0.00158277 -0.03445272]]
[[ 0.00600383  0.00284805 -0.07550306]]
[[ 0.00888348  0.00617982 -0.07016228]]
[[ 0.29474626  0.1711317  -0.02093841]]
[[ 1.05150165  1.28903834 -0.09105785]]
[[ 0.0036145   0.00309295  0.07501287]]
[[ 0.00657437  0.00566873  0.06990935]]
[[-0.00038728  0.00016666  0.03507778]]
[[ 0.00084579  0.00148953  0.03459308]]
[[ -3.67187187e-04   1.53423956e-05   2.15715361e-02]]
[[ 0.00012734  0.00054506  0.02148717]]
[[ 0.00132871  0.00348705 -0.03605765]]
[[ 0.00259955  0.00507299 -0.03710819]]
[[ 0.00547986  0.0118772  -0.07120651]]
[[ 0.00818871  0.01504724 -0.06788392]]
[[ 0.07840321  0.66502594 -0.00876532]]
[[ 0.0916788   0.23897122 -0.00174731]]
[[ 0.00315495  0.01202118  0.07079374]]
[[ 0.00592239  0.01454903  0.06802171]]
[[-0.00041594  0.00358479  0.03586914]]
[[ 0.0008879   0.00494488  0.03728131]]
[[ 0.00448334  0.02076414 -0.07006376]]
[[ 0.00745271  0.0234082  -0.06667387]]
[[ 0.02792754  0.18067798 -0.00230415]]
[[ 0.03295154  0.12091221 -0.00025339]]
[[ 0.00216724  0.02097313  0.06966737]]
[[ 0.00522809  0.02301694  0.06698908]]
[[ 0.01080132  0.11218477 -0.00112657]]
[[ 0.01731341  0.08962422 -0.00020052]]
[[ 0.09740287 -0.14104615 -0.00252182]]
[[ 0.14302323 -0.1495879  -0.00716298]]
[[ 0.01249509 -0.00667266 -0.07744209]]
[[ 0.01550367 -0.00414136 -0.0735387 ]]
[[ 0.29482834 -0.24682457 -0.01426645]]
[[ 0.36511111 -0.16524106 -0.02359377]]
