[[ 0.00518055 -0.00232644 -0.03883786]]
[[ 0.94154052  1.22170239 -0.12584864]]
[[ 0.19964423 -0.25435112  0.025409  ]]
[[ 0.30566688 -0.17193401  0.01263763]]
[[ 0.00084682 -0.00447662  0.06952688]]
[[ 0.00396089 -0.00121935  0.06941096]]
[[-0.00063769 -0.00094387  0.03319115]]
[[ 0.00028608  0.00010897  0.03326504]]
[[ 0.00054482  0.0019001  -0.02793844]]
[[ 0.00148215  0.00317168 -0.02921093]]
[[ 0.00117315  0.00520051 -0.05232585]]
[[ 0.00342691  0.00833257 -0.05275224]]
[[ 0.00313797  0.55024506 -0.04641281]]
[[ 0.05010975  0.18412022 -0.03974748]]
[[ 1.04326743  0.12473486 -0.06685991]]
[[ 0.3063533   0.12427536  0.01498831]]
[[ 0.00059061  0.00465956  0.07519558]]
[[ 0.00374351  0.00810726  0.07628591]]
[[ 0.00104216  0.01178328 -0.05475373]]
[[ 0.00352121  0.01478088 -0.05468338]]
[[ 0.00348436  0.12002588 -0.04040943]]
[[ 0.01581729  0.0846052  -0.03597934]]
[[ 0.18324499  0.33591338  0.02216205]]
[[ 0.07520559  0.14353949  0.03352672]]
[[ 0.00160934  0.07617371 -0.03615717]]
[[ 0.00962464  0.06594061 -0.03239791]]
[[ 0.03952234 -0.10294682 -0.0269164 ]]
[[ 0.07953798 -0.11926096 -0.03195612]]
[[ 0.00579937 -0.00682075 -0.05567444]]
[[ 0.00808934 -0.00461488 -0.05505412]]
[[ 0.18786147 -0.23800583 -0.04045609]]
[[ 0.28538622 -0.16399077 -0.05160087]]
[[ 0.05500631 -0.07386745  0.03599814]]
[[ 0.07665505 -0.07066718  0.03297033]]
[[ 0.00236244 -0.00034717 -0.0273663 ]]
[[ 0.00331261  0.00048689 -0.02849694]]
[[ 0.00561092 -0.00031863 -0.05217574]]
[[ 0.00799043  0.00158559 -0.05288848]]
[[ 1.0187493   0.11123653 -0.13615672]]
[[ 0.28777781  0.0955181  -0.05292927]]
[[ 0.12778399 -0.070026    0.03000501]]
[[ 0.12952989 -0.04479994  0.02894755]]
[[ 0.00693788 -0.003633    0.0668944 ]]
[[ 0.01002785 -0.00173747  0.0689149 ]]
[[ 0.00561279  0.00573714 -0.05238445]]
[[ 0.00829056  0.00796898 -0.05499283]]
[[ 0.18535717  0.27510169 -0.05194789]]
[[ 0.08047688  0.09479366 -0.03788468]]
[[ 0.21677951  0.03174198  0.02234756]]
[[ 0.13234028  0.03554666  0.02952592]]
[[ 0.03919278  0.1044112  -0.03867031]]
[[ 0.03676355  0.06892486 -0.03594705]]
[[ 0.11647803 -0.06621498 -0.03285584]]
[[ 0.11580596 -0.04554517 -0.03343059]]
[[ 0.01053166  0.00014686 -0.0548    ]]
[[ 0.01306759  0.0011502  -0.05593859]]
[[ 0.19680464  0.0190497  -0.04105777]]
[[ 0.11607412  0.01458538 -0.03469939]]
[[ 0.08854231 -0.02473823  0.03246564]]
[[ 0.08841327 -0.01830053  0.03180324]]
[[ 0.1154157   0.08696321 -0.03867998]]
[[ 0.07373687  0.04678107 -0.03573728]]
[[ 0.0964627   0.00816607 -0.03194999]]
[[ 0.07998361  0.00396401 -0.03184689]]
