[[-0.09216363 -0.01177433  0.01951002]]
[[-0.11038371  0.04124979  0.01958595]]
[[-0.11301751 -0.08988341  0.02136651]]
[[-0.28150163 -0.09660635  0.03304041]]
[[-0.01854887 -0.00393092  0.00528073]]
[[-0.01425817  0.00562989  0.00758954]]
[[-0.19164039 -0.01963801  0.02477001]]
[[-0.27876974  0.16054746  0.03429423]]
[[-0.00941499 -0.00115413  0.05156097]]
[[-0.00700336  0.0030769   0.04895903]]
[[-0.11009554  0.06168573  0.01871279]]
[[-0.07341818  0.1110475   0.01833488]]
[[-0.03751021 -0.10459936  0.01741962]]
[[-0.04494815 -0.1838816   0.01459246]]
[[-0.01037093 -0.01449911  0.00528848]]
[[-0.00604224 -0.00667821  0.00839962]]
[[-0.1790425  -0.27435242  0.02885141]]
[[-0.93384221 -1.22129516  0.10058582]]
[[-0.00516073 -0.00614092  0.05128642]]
[[-0.00279328 -0.00258165  0.04721422]]
[[-1.06922316 -0.14602305  0.09931726]]
[[-0.9506279   1.45770134  0.10136257]]
[[-0.0101346  -0.00264336  0.00859159]]
[[-0.00577629  0.00490512  0.01036538]]
[[-1.01142495 -0.11139864  0.1148638 ]]
[[-0.92287292  1.43394748  0.12211364]]
[[-0.00480235 -0.00041657  0.04759361]]
[[-0.00265654  0.00259973  0.04514119]]
[[-0.00236044 -0.00042864  0.02463447]]
[[-0.00156437  0.0008441   0.02342767]]
[[-0.00991461  0.00892935  0.00867553]]
[[-0.00548466  0.01649813  0.00872894]]
[[-0.18131529  0.2331865   0.02363725]]
[[-0.04175553  0.19225068  0.017002  ]]
[[-0.00484042  0.00482906  0.0472987 ]]
[[-0.00280185  0.00795477  0.04621092]]
[[-0.03448932  0.09300581  0.01463725]]
[[-0.01121372  0.08145787  0.01505077]]
[[-0.00201943 -0.0707887   0.01514871]]
[[ 0.01013482 -0.08503922  0.01284448]]
[[-0.00190979 -0.02438937  0.0024167 ]]
[[ 0.00211265 -0.01933342  0.00512247]]
[[-0.00014989 -0.11733963  0.01474358]]
[[ 0.04265746 -0.19277143  0.0097347 ]]
[[-0.00115717 -0.01142081  0.05067581]]
[[ 0.00093496 -0.00879175  0.04903117]]
[[-0.02652287 -0.61917491 -0.00280997]]
[[ 0.93334564 -1.48065559 -0.12246163]]
[[-0.00183821 -0.01336338  0.00731878]]
[[ 0.00221327 -0.00749157  0.00980511]]
[[ 0.00257587 -0.54816237  0.01840724]]
[[ 0.92378753 -1.43156284 -0.09515126]]
[[-0.00087568 -0.00535305  0.04768894]]
[[ 0.00102895 -0.00289168  0.04537484]]
[[-0.00081362 -0.00233839  0.02531274]]
[[ -5.62790657e-05  -1.38804474e-03   2.39114980e-02]]
[[ -5.48230650e-05  -2.40317322e-03  -8.66749943e-02]]
[[ 0.0037818   0.00322599 -0.08563152]]
[[-0.00504812 -0.00774301 -0.00905023]]
[[ 0.95148377  1.24518774 -0.1013499 ]]
[[-0.00179257 -0.00154283  0.01081179]]
[[ 0.00243198  0.00418694  0.0115596 ]]
[[ 0.00083287  0.00167216  0.01346529]]
[[ 0.93574563  1.22416407 -0.07361761]]
[[-0.00077146  0.00010074  0.04474739]]
[[ 0.00105834  0.002175    0.04371608]]
[[-0.00080355 -0.00023711  0.022819  ]]
[[ -5.36679052e-05   6.77539660e-04   2.27685398e-02]]
[[-0.00045893 -0.00011769  0.01499332]]
[[-0.00014288  0.00026236  0.01500202]]
[[-0.00493952  0.59374066 -0.01794431]]
[[ 0.0567776   0.23000275 -0.01695622]]
[[-0.00160107  0.01006807  0.0104469 ]]
[[ 0.00262754  0.01566295  0.00959348]]
[[-0.00111342  0.54955333  0.00831105]]
[[ 0.04464146  0.18181449  0.01254498]]
[[-0.00081426  0.00513087  0.04398486]]
[[ 0.00102251  0.00736625  0.04437179]]
[[-0.00081157  0.00182396  0.02361714]]
[[ -2.01486124e-05   2.76577401e-03   2.49031014e-02]]
[[-0.00146173  0.0213572   0.00722526]]
[[ 0.00290079  0.02572209  0.00593574]]
[[ -6.11284147e-05   1.14467664e-01   1.22100819e-02]]
[[ 0.01122963  0.07780656  0.01367809]]
[[-0.00100722  0.01061077  0.04541646]]
[[ 0.00104161  0.01268688  0.04560782]]
[[-0.00096547  0.06681325  0.01332542]]
