[[-0.12687203 -0.04708404  0.00758421]]
[[-0.15784498  0.00529353  0.00796691]]
[[-0.1312928  -0.12861038  0.00828357]]
[[-0.30308651 -0.1424221   0.02003431]]
[[-0.01421799 -0.01138115 -0.07462847]]
[[-0.01094174 -0.00447997 -0.07637427]]
[[-0.2253515  -0.07147986  0.01326524]]
[[-0.32781405  0.09543989  0.02252031]]
[[-0.01685164 -0.0109226   0.07516434]]
[[-0.0136237  -0.00473379  0.07650355]]
[[-0.1803394  -0.00449924  0.00895198]]
[[-0.1982758   0.03688446  0.01044608]]
[[-0.04450089 -0.13644008  0.00381066]]
[[-0.05070601 -0.22150185  0.00098721]]
[[-0.00669691 -0.01807153 -0.06812508]]
[[-0.00329052 -0.01285296 -0.06657214]]
[[-0.19055566 -0.31978061  0.01610127]]
[[-0.94630572 -1.27968055  0.08712527]]
[[-0.00898728 -0.01784485  0.06864398]]
[[-0.00549691 -0.0132851   0.06641366]]
[[-0.00214643 -0.00286155 -0.03694465]]
[[-0.00087213 -0.0006027  -0.03580128]]
[[-0.00674162 -0.01099502 -0.07025739]]
[[-0.00353486 -0.0059377  -0.07225362]]
[[-1.03828316 -0.18353224  0.10318616]]
[[-0.95922326  1.3287666   0.10908492]]
[[-0.00916924 -0.01068521  0.07062174]]
[[-0.00597249 -0.00639997  0.07228652]]
[[-0.00392069 -0.00274521  0.03653751]]
[[-0.00265172 -0.00071823  0.03552505]]
[[-0.00749668 -0.00357085 -0.08027303]]
[[-0.00392967  0.00294109 -0.0851885 ]]
[[-0.26202651  0.10461117  0.01503147]]
[[-0.23568426 -0.06660658  0.01439177]]
[[-0.01025759 -0.0031718   0.08047939]]
[[-0.00676833  0.00242618  0.08548157]]
[[-0.33652063 -0.08793629  0.02443522]]
[[-1.0469059   0.19048376  0.10464755]]
[[-0.00307809 -0.09491953  0.00112047]]
[[ 0.01085464 -0.11312772 -0.00156608]]
[[ -9.38182025e-05  -2.40144285e-02  -6.31989332e-02]]
[[ 0.00303066 -0.02059978 -0.06396551]]
[[-0.00169536 -0.15013589  0.00149814]]
[[ 0.04326047 -0.23243962 -0.00416685]]
[[-0.00218014 -0.02379108  0.06356929]]
[[ 0.00095048 -0.02102337  0.06345252]]
[[ 0.00034184 -0.00584195 -0.0362162 ]]
[[ 0.00155526 -0.00410075 -0.03482184]]
[[ 0.00010135 -0.01719099 -0.06403912]]
[[ 0.00310635 -0.01355279 -0.06488709]]
[[-0.00079484 -0.59770745  0.00553833]]
[[ 0.92470847 -1.49615323 -0.10944939]]
[[-0.00200388 -0.01699766  0.0642433 ]]
[[ 0.00096156 -0.01406446  0.06451455]]
[[-0.00135485 -0.00575999  0.03628996]]
[[-0.00014624 -0.00426396  0.03494476]]
[[ 0.00030702 -0.00096195 -0.02127098]]
[[ 0.00078812 -0.00023399 -0.02134922]]
[[ 0.00038499 -0.00253758 -0.03402639]]
[[ 0.00160133 -0.0008847  -0.03446024]]
[[  5.83988324e-05  -1.05014622e-02  -6.73840572e-02]]
[[ 0.0034063 -0.0067768 -0.0712518]]
[[-0.00886831 -0.08517906  0.00087539]]
[[ 0.93728015  1.09319657 -0.08893818]]
[[-0.00217813 -0.01035719  0.06756486]]
[[ 0.00105329 -0.00743798  0.07119538]]
[[-0.00135637 -0.00246047  0.03403129]]
[[-0.00015446 -0.00101342  0.0346665 ]]
[[-0.0007069  -0.00090557  0.02127443]]
[[-0.00022662 -0.00031692  0.02145774]]
[[ 0.00037928  0.00063099 -0.03663255]]
[[ 0.00167044  0.00240693 -0.03892223]]
[[ -7.84045027e-06  -3.08854487e-03  -7.66242582e-02]]
[[ 0.00386693  0.0020191  -0.08330722]]
[[-0.04630461  0.33168951 -0.00143164]]
[[ 0.04471812 -0.40120986 -0.00779521]]
[[-0.00254481 -0.00295978  0.07689565]]
[[ 0.00118453  0.00124867  0.08385098]]
[[-0.00140571  0.00072299  0.03660586]]
[[-0.0001333   0.00224293  0.03921359]]
[[ -2.53078323e-05   7.23185193e-03  -9.05713903e-02]]
[[ 0.00445485  0.01362904 -0.09520577]]
[[-0.93444926 -1.34962918  0.10757805]]
[[ 0.01406573  0.0711937  -0.00502828]]
[[-0.00295866  0.00747339  0.0910057 ]]
[[ 0.00145682  0.0129097   0.09641682]]
[[-0.94108307  1.32124279  0.08419765]]
[[ 0.0383241   0.65202047 -0.00285957]]
[[ 0.03817897 -0.12674059 -0.00075967]]
[[ 0.08063454 -0.14999741 -0.00518742]]
[[ 0.00651147 -0.01650255 -0.06503793]]
[[ 0.00989338 -0.014154   -0.06778683]]
[[ 0.18770242 -0.27973161 -0.01026011]]
[[ 0.29264253 -0.21848575 -0.02213279]]
[[ 0.00433514 -0.01635275  0.06505014]]
[[ 0.0075778  -0.01475487  0.06725367]]
[[ 0.00284768 -0.00224418 -0.03475773]]
[[ 0.00414155 -0.00109004 -0.03683406]]
[[ 0.00669605 -0.00954391 -0.0676855 ]]
[[ 0.01064834 -0.00704314 -0.07337166]]
[[ 1.02578384  0.0311734  -0.10164928]]
[[ 0.31982457 -0.01381705 -0.0223818 ]]
[[ 0.00440361 -0.00954286  0.06771735]]
[[ 0.00817127 -0.00784804  0.0732848 ]]
[[ 0.00111102 -0.00220553  0.03523115]]
[[ 0.00238636 -0.00128796  0.03748208]]
[[ 0.00735267 -0.00194663 -0.07751053]]
[[ 0.01191576  0.00194488 -0.08629164]]
[[ 0.2310846   0.06831925 -0.01720082]]
[[ 0.27325203 -0.20971356 -0.02217538]]
[[ 0.00482421 -0.00201861  0.07785345]]
[[ 0.00921095  0.00094678  0.08700353]]
[[ 0.98630708 -1.1498289  -0.09486009]]
[[ 1.08688411 -0.03894546 -0.11449858]]
[[ 0.12328944 -0.10252466 -0.0051699 ]]
[[ 0.13119391 -0.08920914 -0.00704926]]
[[ 0.01394815 -0.0081423  -0.07113406]]
[[ 0.01817935 -0.00671968 -0.07670823]]
[[ 0.21942145 -0.04151127 -0.01180968]]
[[ 0.15981189 -0.05535968 -0.00845393]]
[[ 0.01148184 -0.00823552  0.07107794]]
[[ 0.01565283 -0.00764662  0.07661659]]
[[ 0.19525887 -0.01902298 -0.01067904]]
[[ 0.19534615 -0.04787019 -0.0136022 ]]
[[ 0.12418093 -0.03005314 -0.00620488]]
[[ 0.11871521 -0.03513077 -0.00787384]]
