a\c	mol	0	1	2	3	4
0	0	[]	[]	2.9726621443	[]	[]
0	1	[]	[]	2.91090469359	[]	[]
0	2	[]	[]	2.9623157945	[]	[]
0	3	[]	[]	2.97223291364	[]	[]
1	0	[]	2.46990696917	2.3519463336	2.81514492634	[]
1	1	[]	2.7733024416	2.27407389459	2.3571362169	[]
1	2	[]	2.81256017869	2.29959950098	2.37558293164	[]
1	3	[]	2.40232897205	2.25050808341	2.76470844252	[]
2	0	2.6314258627	1.8106134875	0.0	1.94747184092	3.02931586175
2	1	2.94420419035	2.46484121017	0.983868327664	0.971303450155	2.55299662806
2	2	2.75987369277	2.2250767692	2.10700762231	2.14986200498	2.41303776262
2	3	2.33542280285	2.08897128222	2.07550660633	2.21964116643	2.82642443791
3	0	[]	2.45708807579	2.35186415905	2.82792202832	[]
3	1	[]	2.75446713764	2.26365481971	2.36024118892	[]
3	2	[]	2.82056220065	2.35714505278	2.46222798756	[]
3	3	[]	2.42153969704	2.311689235	2.83700261442	[]
4	0	[]	[]	2.97051063585	[]	[]
4	1	[]	[]	2.90549018058	[]	[]
4	2	[]	[]	2.96651312763	[]	[]
4	3	[]	[]	2.97837140192	[]	[]
