a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.2718202125	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.24466297863	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.23075891129	1.02873987945	1.32160890198	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.35022442316	1.00409817044	1.43438828433	[]	[]	[]	[]
4	0	[]	[]	[]	1.24520981004	1.13286006406	0.768103745309	1.13962060857	1.25058568129	[]	[]	[]
4	1	[]	[]	[]	0.958829230939	1.15873262375	0.850241805777	1.1803582544	0.931667401977	[]	[]	[]
5	0	[]	[]	1.27681273234	1.41751522415	1.03728495349	0.620643636009	0.992646075726	1.42025689577	1.26698858367	[]	[]
5	1	[]	[]	1.25656925864	1.20012807609	1.10506326606	0.515516793945	1.09990993914	1.18010051707	1.25613777695	[]	[]
6	0	[]	[]	[]	1.37526528843	1.1283308261	1.10461996163	0.978157223494	1.33009741057	[]	[]	[]
6	1	[]	[]	[]	1.31035494928	1.07599356356	0.684661617421	0.968642351035	1.28010560604	[]	[]	[]
7	0	[]	[]	[]	[]	1.52934903323	1.27525629687	1.38318337151	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.29026332238	1.03277684244	1.14548734121	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.60994004885	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.56664083062	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
