c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.31139596181	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.14212207977	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.14949551862	1.30501917198	1.51131637218	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.230423489	1.61571039614	1.55902180946	[]	[]	[]	[]
4	0	[]	[]	[]	1.50553914651	0.716061747857	1.04657160629	1.27067384018	1.52934903323	[]	[]	[]
4	1	[]	[]	[]	1.32405947438	0.909829400225	1.11011803967	1.23046119961	1.29026332238	[]	[]	[]
5	0	[]	[]	1.33219488557	0.953020074275	0.859916337095	0.954446762099	1.17275408128	1.27525629687	1.86548286163	[]	[]
5	1	[]	[]	1.18585344303	0.958362773314	0.875295185923	0.744337383628	1.10812765913	1.03277684244	1.41403704553	[]	[]
6	0	[]	[]	[]	1.45251595921	0.675712011076	0.937797611808	1.12951707954	1.38318337151	[]	[]	[]
6	1	[]	[]	[]	1.30320078221	0.889099433869	1.01933891751	1.08929728188	1.14548734121	[]	[]	[]
7	0	[]	[]	[]	[]	1.14695638632	1.28536842812	1.50046107742	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.22857811931	1.62023543713	1.57703049911	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.30637357205	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.1352371525	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
