b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.23651363002	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.24001499744	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.46716835807	1.30754850621	1.45357274237	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.52816654806	1.54200174719	1.18254137615	[]	[]	[]	[]
4	0	[]	[]	[]	1.28099611783	0.954921373136	1.22076805657	1.34108987044	1.14695638632	[]	[]	[]
4	1	[]	[]	[]	1.07032815204	1.6068574315	1.14700092835	1.41534857714	1.22857811931	[]	[]	[]
5	0	[]	[]	1.45157466714	1.19975246519	1.03869638087	1.04431176563	1.10236522645	1.28536842812	1.3542557575	[]	[]
5	1	[]	[]	1.67675229065	1.24570483917	0.972572919727	1.06475468251	1.17500817477	1.62023543713	1.25522784843	[]	[]
6	0	[]	[]	[]	1.01946400938	1.21599750597	1.31562263798	1.23070357994	1.50046107742	[]	[]	[]
6	1	[]	[]	[]	1.21509555361	1.06175068544	1.28708913653	1.13108858981	1.57703049911	[]	[]	[]
7	0	[]	[]	[]	[]	1.25058568129	1.42025689577	1.33009741057	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.931667401977	1.18010051707	1.28010560604	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.2578991616	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.26467070068	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
