b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.24950809434	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.24736511408	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.45213280224	1.29687173854	1.45082565275	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.47454489581	1.55320194367	1.18299286915	[]	[]	[]	[]
4	0	[]	[]	[]	1.24945628873	0.965676484186	1.21995549117	1.31222351189	1.14949551862	[]	[]	[]
4	1	[]	[]	[]	1.07529786446	1.59055439932	1.15574731859	1.39082871117	1.230423489	[]	[]	[]
5	0	[]	[]	1.40972225959	1.1529055794	1.0187802128	1.04054585445	1.11883380158	1.30501917198	1.33967984655	[]	[]
5	1	[]	[]	1.63044519176	1.1987875042	0.944025274586	1.05878854282	1.18934456447	1.61571039614	1.25661783487	[]	[]
6	0	[]	[]	[]	1.02380830331	1.22242338978	1.32152756172	1.23864614753	1.51131637218	[]	[]	[]
6	1	[]	[]	[]	1.18332735718	1.06123920606	1.27142780037	1.12222393915	1.55902180946	[]	[]	[]
7	0	[]	[]	[]	[]	1.24520981004	1.41751522415	1.37526528843	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.958829230939	1.20012807609	1.31035494928	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.23337662598	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.24581819224	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
