[[  6.74262681e-21  -3.21037697e-04   6.71670758e-21]]
[[  3.44748900e-21  -2.67956679e-04   9.29986800e-05]]
[[  4.89282028e-20  -1.78234101e-04   1.20182993e-04]]
[[  5.06091566e-21  -1.20182993e-04  -1.78234101e-04]]
[[  4.99432406e-21  -2.44349102e-04  -2.44349102e-04]]
[[  2.02342954e-20  -4.94655565e-04  -2.79266141e-04]]
[[  1.36049480e-20  -8.30073056e-04   1.35525293e-20]]
[[  6.99783613e-21  -4.94655565e-04   2.79266141e-04]]
[[  1.03227636e-19  -2.44349102e-04   2.44349102e-04]]
[[  4.89134107e-20  -1.20182993e-04   1.78234101e-04]]
[[  3.34439925e-21  -4.07605068e-05  -1.60635526e-04]]
[[  5.03766280e-21  -9.29986800e-05  -2.67956679e-04]]
[[ -6.66880166e-21  -2.79266141e-04  -4.94655565e-04]]
[[  1.35370297e-20  -8.01941524e-04  -8.01941524e-04]]
[[ -5.39309514e-20  -1.06468666e-03  -5.32572070e-20]]
[[  1.40458719e-20  -8.01941524e-04   8.01941524e-04]]
[[  2.13332340e-19  -2.79266141e-04   4.94655565e-04]]
[[  8.11140965e-20  -9.29986800e-05   2.67956679e-04]]
[[  3.29584511e-20  -4.07605068e-05   1.60635526e-04]]
[[  2.49096114e-21   2.51931793e-21  -1.12518382e-04]]
[[  4.21611758e-21   4.19578057e-21  -1.76706171e-04]]
[[  1.01843844e-20   1.01106714e-20  -3.21037697e-04]]
[[  2.71668174e-20   2.71844685e-20  -8.30073056e-04]]
[[ -5.29107597e-20  -5.31275997e-20  -1.06468666e-03]]
[[ -5.94740307e-19  -5.94733043e-19  -5.94511354e-19]]
[[ -8.02867982e-20  -8.02645576e-20   1.06468666e-03]]
[[  4.54038415e-19   4.53847200e-19   8.30073056e-04]]
[[  9.80771630e-20   9.74021840e-20   3.21037697e-04]]
[[  3.72201636e-20   3.72134331e-20   1.76706171e-04]]
[[  1.94418267e-20   1.96114532e-20   1.12518382e-04]]
[[  1.65697090e-21   4.07605068e-05  -1.60635526e-04]]
[[  8.50442296e-21   9.29986800e-05  -2.67956679e-04]]
[[  2.04259100e-20   2.79266141e-04  -4.94655565e-04]]
[[ -5.38467664e-20   8.01941524e-04  -8.01941524e-04]]
[[ -8.07728716e-20   1.06468666e-03  -8.03622662e-20]]
[[  1.40112401e-20   8.01941524e-04   8.01941524e-04]]
[[  2.26988702e-19   2.79266141e-04   4.94655565e-04]]
[[  7.77429523e-20   9.29986800e-05   2.67956679e-04]]
[[  3.29306794e-20   4.07605068e-05   1.60635526e-04]]
[[  4.90202077e-20   1.20182993e-04  -1.78234101e-04]]
[[  1.08301955e-19   2.44349102e-04  -2.44349102e-04]]
[[  2.26937724e-19   4.94655565e-04  -2.79266141e-04]]
[[  4.54057035e-19   8.30073056e-04   2.72109280e-20]]
[[  2.13476234e-19   4.94655565e-04   2.79266141e-04]]
[[  1.96353846e-19   2.44349102e-04   2.44349102e-04]]
[[  9.80758704e-20   1.20182993e-04   1.78234101e-04]]
[[  4.89712378e-20   1.78234101e-04  -1.20182993e-04]]
[[  7.77826974e-20   2.67956679e-04  -9.29986800e-05]]
[[  9.80699788e-20   3.21037697e-04   6.74979152e-21]]
