c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	-1.29130014539	[]	[]
1	1	[]	[]	0.352469346504	[]	[]
1	2	[]	[]	0.473132912207	[]	[]
1	3	[]	[]	-1.36015833621	[]	[]
2	0	[]	-0.0849550008931	0.493151691035	0.0717185164431	[]
2	1	[]	-0.495751268911	-0.731008373056	0.299900347199	[]
2	2	[]	0.708134308617	-0.786689364214	-0.52289151228	[]
2	3	[]	1.09241143472	0.759674163992	-0.303090512675	[]
3	0	[]	[]	-0.00513071065714	[]	[]
3	1	[]	[]	-0.468502034566	[]	[]
3	2	[]	[]	0.0102600365403	[]	[]
3	3	[]	[]	-0.0658434984778	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
