b\a	mol	0	1	2
0	0	[]	1.95610294659	[]
0	1	[]	2.98564660927	[]
1	0	2.06643232948	0.0	2.20158074896
1	1	2.49781344939	1.49739678822	1.61075326549
2	0	[]	1.6889273984	[]
2	1	[]	1.21750947074	[]
