c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.33006621613	[]	[]	[]
0	1	[]	[]	[]	1.34438733027	[]	[]	[]
1	0	[]	[]	1.9330033121	1.26901158088	1.45261167274	[]	[]
1	1	[]	[]	1.41628857856	1.30866978995	1.91552962273	[]	[]
2	0	[]	2.12228244425	1.659903519	1.32280689348	1.36133173163	1.45722607672	[]
2	1	[]	1.46581247745	1.11599957592	1.28935103694	2.49616000609	2.33182815948	[]
3	0	1.71384309452	1.26983687718	0.21439057969	0.0	0.502618853301	0.484453222905	1.37268675053
3	1	1.40468704042	1.15278420625	0.142509192193	0.327431031785	-0.187501058311	1.09014169044	1.61678025699
4	0	[]	2.111624416	1.67564561857	1.32537856671	1.37224102495	1.46712726354	[]
4	1	[]	1.46569519233	1.12236118768	1.29150115831	2.52056402215	2.32694448593	[]
5	0	[]	[]	1.93390591672	1.27016770446	1.45339884238	[]	[]
5	1	[]	[]	1.4169274693	1.30902741165	1.91659859575	[]	[]
6	0	[]	[]	[]	1.33038733235	[]	[]	[]
6	1	[]	[]	[]	1.34500835862	[]	[]	[]
