c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.12109294728	[]	[]	[]
1	1	[]	[]	[]	1.34594548793	[]	[]	[]
2	0	[]	[]	1.13041939651	1.4393012883	2.12737173666	[]	[]
2	1	[]	[]	1.58296655772	1.28844533816	2.35147159384	[]	[]
3	0	[]	1.64739440289	1.04531213136	0.96482877063	0.363833872516	-0.265257766235	[]
3	1	[]	1.2430689244	0.695361915172	0.308219320019	0.520928101027	0.342248680281	[]
4	0	[]	[]	1.14177867016	1.44320436335	2.14709247407	[]	[]
4	1	[]	[]	1.60031663648	1.28877294361	2.37812042014	[]	[]
5	0	[]	[]	[]	1.12351430279	[]	[]	[]
5	1	[]	[]	[]	1.34739646482	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
