b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	2.111624416	[]	[]	[]
1	1	[]	[]	[]	1.46569519233	[]	[]	[]
2	0	[]	[]	1.14177867016	1.67564561857	1.82857794871	[]	[]
2	1	[]	[]	1.60031663648	1.12236118768	1.50087821308	[]	[]
3	0	[]	3.07511578279	1.44320436335	1.32537856671	1.26007522148	1.66781156392	[]
3	1	[]	1.76832287436	1.28877294361	1.29150115831	1.78767801976	2.45383689889	[]
4	0	[]	[]	2.14709247407	1.37224102495	2.33083124313	[]	[]
4	1	[]	[]	2.37812042014	2.52056402215	3.02681044879	[]	[]
5	0	[]	[]	[]	1.46712726354	[]	[]	[]
5	1	[]	[]	[]	2.32694448593	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
