nTs_TholeTests
Length	Long_calpol	TholeExp_empirical	TholeExp_mean	TholeExp_components	TholeLin_empirical	TholeLin_mean	TholeLin_components
1	71.3577	66.302701402	60.5239005751	59.6699170866	70.3788063741	58.94916896	53.5415014244
2	173.292	150.461951528	143.349908971	147.75052773	162.186494618	140.158782198	132.509435156
3	322.028	241.366037034	237.096666683	247.103642507	268.534867747	233.002085762	218.837009699
4	505.19	337.712690765	337.825456735	355.219921224	382.862748636	332.1771497	310.805769541
5	709.993	436.166026768	441.274271592	466.772487248	500.681398982	433.974942592	404.956648076
6	925.447	534.816951673	545.07822416	578.829383842	619.315009579	536.222671658	499.295182793
7	1156.07	635.790333594	651.709628906	694.432598471	741.006133069	640.9080443	595.953360418
8	1388.47	736.030499153	757.523232573	809.064411242	862.027208102	744.923487002	691.856790814
