nTs_atbon_highpi
Length	Long_calpol_AtBon	Long_pypol_AtBon	Long_ratio_AtBon	Short_calpol_AtBon	Short_pypol_AtBon	Short_ratio_AtBon	Face_calpol_AtBon	Face_pypol_AtBon	Face_ratio_AtBon
1	71.3577	68.6025138367	0.961389083963	62.8695	68.9744624928	1.09710531327	39.4705	34.9705217582	0.885991354511
2	173.292	198.976277744	1.14821386875	128.321	132.814592482	1.03501837176	73.0458	75.7306512458	1.03675572375
3	322.028	356.484094543	1.10699720069	187.771	196.260867369	1.04521394342	103.373	108.160539199	1.04631324619
4	505.19	539.665244441	1.06824213551	244.329	257.752364974	1.05493971233	134.501	143.010167611	1.06326471633
5	709.993	734.622567035	1.03468987305	301.097	319.047656405	1.05961751995	165.466	176.476340356	1.06654140643
6	925.447	933.337385137	1.00852602595	359.081	384.934467645	1.07199898531	197.291	212.269403351	1.075920358
7	1156.07	1142.22374584	0.988022996743	413.957	441.229386934	1.06588217359	228.655	246.176649499	1.07662919901
8	1388.47	1349.71227365	0.972086018168	470.19	502.332048503	1.06835970247	261.067	281.82054577	1.07949509425
