nTs_Lin_empirical
Length	Method	Fit	Long_calpol	Long_pypol	Long_ratio	Short_calpol	Short_pypol	Short_ratio	Face_calpol	Face_pypol	Face_ratio
1	Lin	empirical	71.3577	234.965583945	3.29278527678	62.8695	86.3219663721	1.37303408445	39.4705	28.9261586337	0.7328551357
2	Lin	empirical	173.292	199.57023515	1.15164136342	128.321	286.100869682	2.22957169662	73.0458	125.47753042	1.71779254139
3	Lin	empirical	322.028	333.439024742	1.03543488374	187.771	305.187662407	1.62531840597	103.373	-25.2174255851	-0.243945958665
4	Lin	empirical	505.19	507.676689812	1.00492228629	244.329	483.732059372	1.97983890317	134.501	51.9290751256	0.386086907351
5	Lin	empirical	709.993	856.363824356	1.20615812319	301.097	540.640432442	1.79556897758	165.466	88.1818112925	0.532930096168
6	Lin	empirical	925.447	432.5250781	0.467368826199	359.081	553.498368901	1.54143039844	197.291	118.837083833	0.602344170962
7	Lin	empirical	1156.07	752.085034061	0.650553196659	413.957	728.88379936	1.76077176943	228.655	155.077046585	0.678214106775
8	Lin	empirical	1388.47	941.811640785	0.678308959347	470.19	784.793205088	1.66909803502	261.067	225.021311477	0.861929357125
