nTs_TholeTests
Length	Trace_calpol	TholeExp_empirical	TholeExp_mean	TholeExp_components	TholeLin_empirical	TholeLin_mean	TholeLin_components
1	173.6977	169.910906548	149.80712052	144.698326077	175.591770831	145.839516443	133.158420334
2	374.6588	333.544678478	305.797154638	300.695838234	352.250285698	298.455469438	273.320515828
3	613.172	505.328304418	472.645459512	469.833656241	541.816019635	461.968938162	423.219402026
4	884.02	681.288510759	645.041033266	646.005187434	738.131266526	630.799611636	577.703660524
5	1176.556	859.317296571	820.157322584	825.607729612	937.930390792	802.283448588	734.420649884
6	1481.819	1038.49643941	996.785143789	1007.17137662	1139.64740343	975.199172285	892.345832585
7	1798.682	1218.3891269	1174.32719376	1189.88018368	1342.6314272	1148.99433776	1050.96684789
8	2119.727	1398.66259548	1352.36373101	1373.2288009	1546.24543375	1323.26713452	1210.00065572
