nTs_TholeTests
Length	Long_calpol	TholeExp_empirical_ratio	TholeExp_mean_ratio	TholeExp_components_ratio	TholeLin_empirical_ratio	TholeLin_mean_ratio	TholeLin_components_ratio
1	71.3577	0.929159731914	0.848176168446	0.836208525311	0.986281878117	0.826108029827	0.750325492896
2	173.292	0.868256766198	0.827215964793	0.852610205494	0.935914494712	0.808801226819	0.764659852479
3	322.028	0.749518790396	0.736261029114	0.76733589162	0.833886704719	0.723546044947	0.67955895046
4	505.19	0.668486491746	0.668709706714	0.703141236414	0.757858921665	0.657529146856	0.615225498409
5	709.993	0.614324404281	0.621519186234	0.657432520107	0.705192021587	0.611238339804	0.5703670995
6	925.447	0.577901221434	0.588989130831	0.62545924709	0.669206350638	0.579420184687	0.539517857633
7	1156.07	0.549958336082	0.563728518953	0.600683867301	0.640969952571	0.554385153407	0.515499373237
8	1388.47	0.530101838104	0.545581274765	0.582702119053	0.62084683724	0.536506721069	0.498287172797
