nTs
Length	Long_calpol_AtBon	Long_pypol_AtBon	Long_ratio_AtBon	Short_calpol_AtBon	Short_pypol_AtBon	Short_ratio_AtBon	Face_calpol_AtBon	Face_pypol_AtBon	Face_ratio_AtBon
1	71.3577	79.6240259605	1.11584350337	62.8695	73.5908585211	1.17053354204	39.4705	52.812656722	1.33802857126
2	173.292	200.014454203	1.15420477693	128.321	149.055992472	1.16158689904	73.0458	102.540795732	1.40378770213
3	322.028	356.826534868	1.10806058749	187.771	215.704085784	1.14876144763	103.373	146.879606932	1.42087012017
4	505.19	532.831151174	1.05471436722	244.329	281.583775647	1.15247791153	134.501	192.634812806	1.43221844303
5	709.993	719.24750176	1.01303463803	301.097	347.650733286	1.15461374004	165.466	237.487419502	1.43526416002
6	925.447	910.002679685	0.983311502101	359.081	415.458881441	1.15700602772	197.291	283.811081772	1.43854043911
7	1156.07	1107.55647596	0.958035824783	413.957	479.03916749	1.15721963269	228.655	329.017838306	1.43892693493
8	1388.47	1305.11703331	0.939967758257	470.19	544.702657245	1.15847350485	261.067	375.443687501	1.43811239069
