nTs_TholeTests
Length	Trace_calpol	TholeExp_empirical_ratio	TholeExp_mean_ratio	TholeExp_components_ratio	TholeLin_empirical_ratio	TholeLin_mean_ratio	TholeLin_components_ratio
1	173.6977	0.978198943038	0.862458861114	0.833046874408	1.01090440939	0.839616854124	0.766610152777
2	374.6588	0.890262496112	0.816201713766	0.802585814705	0.94018954232	0.796606057133	0.729518473415
3	613.172	0.824121623978	0.770820356299	0.766234688213	0.883628116801	0.753408404432	0.690213189817
4	884.02	0.770670924594	0.729667918447	0.730758565908	0.834971229752	0.71355807746	0.653496143214
5	1176.556	0.730366677465	0.697083115962	0.701715625615	0.797182956691	0.681891425982	0.624212234593
6	1481.819	0.700825431051	0.672676719484	0.679685829793	0.769086780117	0.658109507494	0.602196241636
7	1798.682	0.677378840116	0.652882051281	0.661528932673	0.746452917858	0.638797929687	0.584298307258
8	2119.727	0.659831476166	0.637989576493	0.647832858147	0.729454988189	0.624262999207	0.570828533922
