nTs
Length	Long_calpol_Lincomponents	Long_pypol_Lincomponents	Long_ratio_Lincomponents	Short_calpol_Lincomponents	Short_pypol_Lincomponents	Short_ratio_Lincomponents	Face_calpol_Lincomponents	Face_pypol_Lincomponents	Face_ratio_Lincomponents	Long_calpol_Linmean	Long_pypol_Linmean	Long_ratio_Linmean	Short_calpol_Linmean	Short_pypol_Linmean	Short_ratio_Linmean	Face_calpol_Linmean	Face_pypol_Linmean	Face_ratio_Linmean	Long_calpol_Linempirical	Long_pypol_Linempirical	Long_ratio_Linempirical	Short_calpol_Linempirical	Short_pypol_Linempirical	Short_ratio_Linempirical	Face_calpol_Linempirical	Face_pypol_Linempirical	Face_ratio_Linempirical	Long_calpol_Expcomponents	Long_pypol_Expcomponents	Long_ratio_Expcomponents	Short_calpol_Expcomponents	Short_pypol_Expcomponents	Short_ratio_Expcomponents	Face_calpol_Expcomponents	Face_pypol_Expcomponents	Face_ratio_Expcomponents	Long_calpol_Expmean	Long_pypol_Expmean	Long_ratio_Expmean	Short_calpol_Expmean	Short_pypol_Expmean	Short_ratio_Expmean	Face_calpol_Expmean	Face_pypol_Expmean	Face_ratio_Expmean	Long_calpol_Expempirical	Long_pypol_Expempirical	Long_ratio_Expempirical	Short_calpol_Expempirical	Short_pypol_Expempirical	Short_ratio_Expempirical	Face_calpol_Expempirical	Face_pypol_Expempirical	Face_ratio_Expempirical
1
