b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.749090250031	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.667054484473	[]	[]	[]	[]
3	0	[]	[]	[]	0.6429541929	0.607280217887	0.585510896397	[]	[]	[]
3	1	[]	[]	[]	0.587616221754	0.578936604654	0.60332894328	[]	[]	[]
4	0	[]	[]	0.600168347712	0.574703190488	0.552937719117	0.550353709469	0.558247165341	[]	[]
4	1	[]	[]	0.583899130659	0.563973600071	0.563004802725	0.591179473984	0.639046169154	[]	[]
5	0	[]	[]	[]	0.593700498192	0.577494597283	0.578820929993	[]	[]	[]
5	1	[]	[]	[]	0.598957116382	0.614694573468	0.662114493747	[]	[]	[]
6	0	[]	[]	[]	[]	0.671357759791	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.750589427545	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
