a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.599921888874	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.607029068445	[]	[]	[]	[]
4	0	[]	[]	[]	0.670979677403	0.581948718266	0.672231847171	[]	[]	[]
4	1	[]	[]	[]	0.75117837014	0.621495568352	0.751844535176	[]	[]	[]
5	0	[]	[]	[]	[]	0.580962777012	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.667450781055	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
