c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.565362721924	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.553197420086	[]	[]	[]	[]
4	0	[]	[]	[]	0.559874797282	0.575045243677	0.567355285892	[]	[]	[]
4	1	[]	[]	[]	0.492050184646	0.518554104772	0.568438184606	[]	[]	[]
5	0	[]	[]	[]	[]	0.559541590347	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.551448885766	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
